FID,postcode,pc_name,pa_fips,city_town,county,area_sqmi
268,1464,SHIRLEY,61555,"SHIRLEY, TOWN OF",MIDDLESEX,15.9855142
269,2653,ORLEANS,51405,"ORLEANS, TOWN OF",BARNSTABLE,15.91339534
270,1778,WAYLAND,73755,"WAYLAND, TOWN OF",MIDDLESEX,15.89426224
271,2645,HARWICH,28985,HARWICH,BARNSTABLE,17.91297128
272,2081,WALPOLE,72460,"WALPOLE, TOWN OF",NORFOLK,17.88059135
273,1062,FLORENCE,24050,NORTHAMPTON,HAMPSHIRE,17.85836956
274,1969,ROWLEY,58370,"ROWLEY, TOWN OF",ESSEX,17.76656333
275,1741,CARLISLE,11490,"CARLISLE, TOWN OF",MIDDLESEX,15.42731179
276,2771,SEEKONK,60680,"SEEKONK, TOWN OF",BRISTOL,18.68388184
277,1094,WHEELWRIGHT,79180,"HARDWICK, TOWN OF",WORCESTER,0.21098569
278,2743,ACUSHNET,485,"ACUSHNET, TOWN OF",BRISTOL,18.3472538
279,1028,EAST LONGMEADOW,19680,"EAST LONGMEADOW, TOWN OF",HAMPDEN,12.9900184
280,1824,CHELMSFORD,13100,"CHELMSFORD, TOWN OF",MIDDLESEX,18.1405142
281,1775,STOW,68015,"STOW, TOWN OF",MIDDLESEX,17.99819497
282,1224,BERKSHIRE,5315,"LANESBOROUGH, TOWN OF",BERKSHIRE,0.18532068
283,1262,STOCKBRIDGE,67560,"STOCKBRIDGE, TOWN OF",BERKSHIRE,15.01129688
284,1982,SOUTH HAMILTON,64215,"HAMILTON, TOWN OF",ESSEX,14.81697173
285,2375,SOUTH EASTON,63725,"EASTON, TOWN OF",BRISTOL,14.81273801
286,1915,BEVERLY,5595,BEVERLY,ESSEX,14.76571835
287,1583,WEST BOYLSTON,75120,"WEST BOYLSTON, TOWN OF",WORCESTER,14.7720409
288,2163,BOSTON,7000,BOSTON,SUFFOLK,0.12133642
289,2052,MEDFIELD,39730,"MEDFIELD, TOWN OF",NORFOLK,14.56583703
290,2553,MONUMENT BEACH,42670,"BOURNE, TOWN OF",BARNSTABLE,0.11848982
291,1354,GILL,25710,"GILL, TOWN OF",FRANKLIN,14.56189331
292,1827,DUNSTABLE,17790,"DUNSTABLE, TOWN OF",MIDDLESEX,16.72090085
293,1012,CHESTERFIELD,13555,"CHESTERFIELD, TOWN OF",HAMPSHIRE,16.63193679
294,1501,AUBURN,2795,"AUBURN, TOWN OF",WORCESTER,16.61910165
295,1801,WOBURN,81035,WOBURN,MIDDLESEX,12.92433916
296,1521,HOLLAND,30630,"HOLLAND, TOWN OF",HAMPDEN,12.90688812
297,2072,STOUGHTON,67980,"STOUGHTON, TOWN OF",NORFOLK,16.54588958
298,1527,MILLBURY,41305,"MILLBURY, TOWN OF",WORCESTER,16.44778635
299,1949,MIDDLETON,41130,"MIDDLETON, TOWN OF",ESSEX,14.50522906
300,1522,JEFFERSON,32590,"HOLDEN, TOWN OF",WORCESTER,15.86943088
301,1570,WEBSTER,73930,"WEBSTER, TOWN OF",WORCESTER,14.5042978
302,1760,NATICK,43930,"NATICK, TOWN OF",MIDDLESEX,15.77607703
303,2720,FALL RIVER,23000,FALL RIVER,BRISTOL,15.73243933
304,1757,MILFORD,41200,"MILFORD, TOWN OF",WORCESTER,15.50189408
305,1106,LONGMEADOW,36335,"LONGMEADOW, TOWN OF",HAMPDEN,9.65233734
306,2056,NORFOLK,46015,"NORFOLK, TOWN OF",NORFOLK,15.49352305
307,2576,WEST WAREHAM,78410,"WAREHAM, TOWN OF",PLYMOUTH,9.52609426
308,2660,SOUTH DENNIS,63655,"DENNIS, TOWN OF",BARNSTABLE,9.20776746
309,2357,STONEHILL COLLEGE,47625,"EASTON, TOWN OF",BRISTOL,0.11141458
310,2341,HANSON,28460,"HANSON, TOWN OF",PLYMOUTH,15.49169269
311,1952,SALISBURY,59210,"SALISBURY, TOWN OF",ESSEX,15.4487442
312,1834,GROVELAND,27585,"GROVELAND, TOWN OF",ESSEX,9.20026895
313,1772,SOUTHBOROUGH,63130,"SOUTHBOROUGH, TOWN OF",WORCESTER,15.3194387
314,2030,DOVER,17370,"DOVER, TOWN OF",NORFOLK,15.30453414
315,2492,NEEDHAM,44140,"NEEDHAM, TOWN OF",NORFOLK,9.17900439
316,2113,BOSTON,7000,BOSTON,SUFFOLK,0.08990889
317,1081,WALES,72355,"WALES, TOWN OF",HAMPDEN,15.08317281
318,2367,PLYMPTON,54380,"PLYMPTON, TOWN OF",PLYMOUTH,15.01761861
319,1375,SUNDERLAND,68365,"SUNDERLAND, TOWN OF",FRANKLIN,15.01391069
320,2601,HYANNIS,31820,BARNSTABLE,BARNSTABLE,9.16580994
321,1096,WILLIAMSBURG,79880,"ASHFIELD, TOWN OF",FRANKLIN,9.10332183
322,1862,NORTH BILLERICA,46680,"BILLERICA, TOWN OF",MIDDLESEX,9.02691277
323,1773,LINCOLN,35390,"LINCOLN, TOWN OF",MIDDLESEX,14.17605338
324,1985,WEST NEWBURY,77115,"WEST NEWBURY, TOWN OF",ESSEX,14.04268244
325,2557,OAK BLUFFS,50425,"OAK BLUFFS, TOWN OF",DUKES,0.08250296
326,1011,CHESTER,13450,"MIDDLEFIELD, TOWN OF",HAMPSHIRE,13.88726585
327,1923,DANVERS,16285,"DANVERS, TOWN OF",ESSEX,13.79238767
328,1929,ESSEX,21815,"ESSEX, TOWN OF",ESSEX,13.66307757
329,2666,TRURO,70570,"TRURO, TOWN OF",BARNSTABLE,13.6456308
330,1864,NORTH READING,48990,"NORTH READING, TOWN OF",MIDDLESEX,13.54211996
331,2713,CUTTYHUNK,16110,"GOSNOLD, TOWN OF",DUKES,13.51681236
332,2738,MARION,38505,"MARION, TOWN OF",PLYMOUTH,13.27331764
333,2540,FALMOUTH,23070,"FALMOUTH, TOWN OF",BARNSTABLE,12.19792898
334,2169,QUINCY,55745,QUINCY,NORFOLK,12.08161026
335,2537,EAST SANDWICH,20380,"SANDWICH, TOWN OF",BARNSTABLE,11.95072355
336,2762,PLAINVILLE,54065,"PLAINVILLE, TOWN OF",NORFOLK,11.53309661
337,1264,TYRINGHAM,71060,"TYRINGHAM, TOWN OF",BERKSHIRE,13.49442587
338,1719,BOXBOROUGH,7350,"BOXBOROUGH, TOWN OF",MIDDLESEX,10.61615492
339,1730,BEDFORD,4650,"BEDFORD, TOWN OF",MIDDLESEX,13.45908353
340,2186,MILTON,41725,"MILTON, TOWN OF",NORFOLK,13.2975273
341,1254,RICHMOND,56760,"RICHMOND, TOWN OF",BERKSHIRE,14.38494815
342,2356,NORTH EASTON,47625,"EASTON, TOWN OF",BRISTOL,14.25556434
343,2642,EASTHAM,19260,"EASTHAM, TOWN OF",BARNSTABLE,14.0863438
344,1913,AMESBURY,1220,"AMESBURY, TOWN OF",ESSEX,13.20076142
345,1833,GEORGETOWN,25590,"GEORGETOWN, TOWN OF",ESSEX,13.15355149
346,1001,AGAWAM,765,AGAWAM,HAMPDEN,12.27864605
347,1030,FEEDING HILLS,23455,AGAWAM,HAMPDEN,12.09846946
348,1983,TOPSFIELD,70115,"TOPSFIELD, TOWN OF",ESSEX,11.52084377
349,2564,SIASCONSET,61940,"NANTUCKET, TOWN OF",NANTUCKET,11.52059832
350,1906,SAUGUS,60050,"SAUGUS, TOWN OF",ESSEX,11.28832437
351,2715,DIGHTON,16915,"DIGHTON, TOWN OF",BRISTOL,10.98465124
352,1519,GRAFTON,26395,"GRAFTON, TOWN OF",WORCESTER,10.94144718
353,1344,ERVING,21745,"ERVING, TOWN OF",FRANKLIN,14.43709841
354,1718,ACTON,345,"ACTON, TOWN OF",MIDDLESEX,0.08209838
355,2184,BRAINTREE,7700,"BRAINTREE, TOWN OF",NORFOLK,14.42976096
356,1082,WARE,72845,"PALMER, TOWN OF",HAMPDEN,0.07826961
357,1830,HAVERHILL,29405,HAVERHILL,ESSEX,14.41456623
358,2053,MEDWAY,39940,"MEDWAY, TOWN OF",NORFOLK,11.51612817
359,1436,BALDWINVILLE,3355,"TEMPLETON, TOWN OF",WORCESTER,11.34580759
360,2661,SOUTH HARWICH,64320,HARWICH,BARNSTABLE,0.07151371
361,1242,LENOX DALE,35040,"LENOX, TOWN OF",BERKSHIRE,0.07046471
362,2764,NORTH DIGHTON,47520,"DIGHTON, TOWN OF",BRISTOL,11.29169449
363,1504,BLACKSTONE,5980,"BLACKSTONE, TOWN OF",WORCESTER,11.21206507
364,2090,WESTWOOD,78655,"WESTWOOD, TOWN OF",NORFOLK,11.05434808
365,2368,RANDOLPH,55990,"RANDOLPH, TOWN OF",NORFOLK,10.91509072
366,1438,EAST TEMPLETON,20590,"TEMPLETON, TOWN OF",WORCESTER,0.0500023
367,2672,WEST HYANNISPORT,76590,BARNSTABLE,BARNSTABLE,0.04693204
368,1518,FISKDALE,23840,"STURBRIDGE, TOWN OF",WORCESTER,10.88449441
369,1039,HAYDENVILLE,29545,"WILLIAMSBURG, TOWN OF",HAMPSHIRE,10.87388025
370,1009,BONDSVILLE,6400,"PALMER, TOWN OF",HAMPDEN,0.04152232
371,1343,DRURY,17545,"FLORIDA, TOWN OF",BERKSHIRE,10.86544871
372,1063,SMITH COLLEGE,46330,NORTHAMPTON,HAMPSHIRE,0.03725573
373,2062,NORWOOD,50285,"NORWOOD, TOWN OF",NORFOLK,10.75391176
374,1432,AYER,3040,"AYER, TOWN OF",MIDDLESEX,8.96661652
375,2718,EAST TAUNTON,20555,TAUNTON,BRISTOL,10.69281858
376,1536,NORTH GRAFTON,48010,"GRAFTON, TOWN OF",WORCESTER,9.01724966
377,1749,HUDSON,31575,"HUDSON, TOWN OF",MIDDLESEX,11.89454278
378,2302,BROCKTON,9000,BROCKTON,PLYMOUTH,8.91587599
379,1038,HATFIELD,29230,"HATFIELD, TOWN OF",HAMPSHIRE,10.68702294
380,2054,MILLIS,41480,"MILLIS, TOWN OF",NORFOLK,11.97150548
381,1832,HAVERHILL,29405,HAVERHILL,ESSEX,11.76249056
382,1561,SOUTH LANCASTER,64460,"LANCASTER, TOWN OF",WORCESTER,0.0359069
383,2151,REVERE,56585,EVERETT,MIDDLESEX,0.0341638
384,2047,HUMAROCK,31715,"SCITUATE, TOWN OF",PLYMOUTH,0.03041975
385,1235,HINSDALE,30280,"MIDDLEFIELD, TOWN OF",HAMPSHIRE,11.74628896
386,1474,WEST TOWNSEND,78270,"TOWNSEND, TOWN OF",MIDDLESEX,11.64623894
387,2657,PROVINCETOWN,55535,"PROVINCETOWN, TOWN OF",BARNSTABLE,10.02240784
388,2351,ABINGTON,135,"ABINGTON, TOWN OF",PLYMOUTH,10.20660367
389,1867,READING,56165,"READING, TOWN OF",MIDDLESEX,10.01470192
390,2370,ROCKLAND,57810,"ROCKLAND, TOWN OF",PLYMOUTH,10.13422134
391,2189,EAST WEYMOUTH,20835,"WEYMOUTH, TOWN OF",NORFOLK,4.06211923
392,1534,NORTHBRIDGE,46890,"NORTHBRIDGE, TOWN OF",WORCESTER,9.99433261
393,2673,WEST YARMOUTH,78795,"YARMOUTH, TOWN OF",BARNSTABLE,9.80281756
394,2632,CENTERVILLE,12085,BARNSTABLE,BARNSTABLE,8.39696372
395,2421,LEXINGTON,35250,"LEXINGTON, TOWN OF",MIDDLESEX,9.65624543
396,2648,MARSTONS MILLS,38995,BARNSTABLE,BARNSTABLE,9.17362222
397,1082,WARE,72845,"HARDWICK, TOWN OF",WORCESTER,9.02286976
398,1236,HOUSATONIC,31295,"GREAT BARRINGTON, TOWN OF",BERKSHIRE,8.32821353
399,1950,NEWBURYPORT,45245,NEWBURYPORT,ESSEX,8.18952564
400,2745,NEW BEDFORD,45000,NEW BEDFORD,BRISTOL,10.60601987
401,1940,LYNNFIELD,37595,"LYNNFIELD, TOWN OF",ESSEX,10.43136675
402,2025,COHASSET,14605,"COHASSET, TOWN OF",NORFOLK,10.3688627
403,1515,EAST BROOKFIELD,18595,"EAST BROOKFIELD, TOWN OF",WORCESTER,10.31354603
404,1039,HAYDENVILLE,29545,"WHATELY, TOWN OF",FRANKLIN,10.30562044
405,1850,LOWELL,37000,LOWELL,MIDDLESEX,1.37072858
406,1108,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,4.0360997
407,2472,WATERTOWN,73440,WATERTOWN,MIDDLESEX,4.02570259
408,1854,LOWELL,37000,LOWELL,MIDDLESEX,3.97910135
409,1702,FRAMINGHAM,24960,"FRAMINGHAM, TOWN OF",MIDDLESEX,8.80651831
410,2675,YARMOUTH PORT,82595,"YARMOUTH, TOWN OF",BARNSTABLE,8.78231514
411,1922,BYFIELD,10050,"NEWBURY, TOWN OF",ESSEX,8.73352059
412,1860,MERRIMAC,40395,"MERRIMAC, TOWN OF",ESSEX,8.7044458
413,2155,MEDFORD,39835,MEDFORD,MIDDLESEX,8.51783356
414,1841,LAWRENCE,34550,LAWRENCE,ESSEX,3.10779573
415,2639,DENNIS PORT,16810,"DENNIS, TOWN OF",BARNSTABLE,3.0293891
416,2045,HULL,31680,"HULL, TOWN OF",PLYMOUTH,3.02647591
417,2191,NORTH WEYMOUTH,49725,"WEYMOUTH, TOWN OF",NORFOLK,2.03917083
418,1907,SWAMPSCOTT,68680,"SWAMPSCOTT, TOWN OF",ESSEX,3.06397446
419,2543,WOODS HOLE,81245,"FALMOUTH, TOWN OF",BARNSTABLE,1.73524928
420,2130,JAMAICA PLAIN,32520,BOSTON,SUFFOLK,3.88185899
421,2188,WEYMOUTH,78900,"WEYMOUTH, TOWN OF",NORFOLK,3.8104665
422,1008,BLANDFORD,6050,"OTIS, TOWN OF",BERKSHIRE,8.11116703
423,1970,SALEM,59105,SALEM,ESSEX,8.10431968
424,1350,MONROE BRIDGE,42075,"MONROE, TOWN OF",FRANKLIN,1.98926194
425,1984,WENHAM,74630,"WENHAM, TOWN OF",ESSEX,8.08791383
426,1542,ROCHDALE,57530,"LEICESTER, TOWN OF",WORCESTER,4.14213776
427,1835,HAVERHILL,29405,HAVERHILL,ESSEX,8.06934245
428,1588,WHITINSVILLE,79495,"NORTHBRIDGE, TOWN OF",WORCESTER,8.06639019
429,1904,LYNN,37490,LYNN,ESSEX,4.22888343
430,2140,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,1.15594951
431,1084,WEST CHESTERFIELD,75610,"CHESTERFIELD, TOWN OF",HAMPSHIRE,4.20149821
432,1118,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,3.65172888
433,1129,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,3.60278173
434,1611,CHERRY VALLEY,13275,"LEICESTER, TOWN OF",WORCESTER,3.44684824
435,1851,LOWELL,37000,LOWELL,MIDDLESEX,3.35726061
436,1119,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,3.42876664
437,2149,EVERETT,21990,EVERETT,MIDDLESEX,3.39290335
438,1843,LAWRENCE,34550,LAWRENCE,ESSEX,3.35256158
439,2131,ROSLINDALE,58265,BOSTON,SUFFOLK,3.32868736
440,2071,SOUTH WALPOLE,65545,"WALPOLE, TOWN OF",NORFOLK,0.96857856
441,1222,ASHLEY FALLS,2200,"SHEFFIELD, TOWN OF",BERKSHIRE,3.30454102
442,1092,WEST WARREN,78445,"WARREN, TOWN OF",WORCESTER,3.25431131
443,2124,DORCHESTER CENTER,17125,BOSTON,SUFFOLK,3.23298187
444,2474,ARLINGTON,1640,"ARLINGTON, TOWN OF",MIDDLESEX,3.27548524
445,1002,AMHERST,1290,"SHUTESBURY, TOWN OF",FRANKLIN,2.11283202
446,1560,SOUTH GRAFTON,60120,"GRAFTON, TOWN OF",WORCESTER,3.27102315
447,1070,PLAINFIELD,53995,"WINDSOR, TOWN OF",BERKSHIRE,0.95620559
448,2138,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,3.02587488
449,2494,NEEDHAM HEIGHTS,44175,"NEEDHAM, TOWN OF",NORFOLK,3.01547389
450,2467,CHESTNUT HILL,13625,"BROOKLINE, TOWN OF",NORFOLK,2.98456672
451,2125,DORCHESTER,17090,BOSTON,SUFFOLK,2.9695764
452,2452,WALTHAM,72600,WALTHAM,MIDDLESEX,3.80762042
453,1609,WORCESTER,82000,WORCESTER,WORCESTER,3.79605572
454,1380,WENDELL DEPOT,74560,"WENDELL, TOWN OF",FRANKLIN,3.77622738
455,2453,WALTHAM,72600,WALTHAM,MIDDLESEX,3.65960328
456,2659,SOUTH CHATHAM,63515,"CHATHAM, TOWN OF",BARNSTABLE,2.22489917
457,2150,CHELSEA,13205,CHELSEA,SUFFOLK,2.21853235
458,1338,BUCKLAND,9560,"BUCKLAND, TOWN OF",FRANKLIN,2.17759209
459,1610,WORCESTER,82000,WORCESTER,WORCESTER,2.16157829
460,2476,ARLINGTON,1640,"ARLINGTON, TOWN OF",MIDDLESEX,2.15110683
461,2119,ROXBURY,58475,BOSTON,SUFFOLK,1.63137772
462,2465,WEST NEWTON,77185,NEWTON,MIDDLESEX,2.13274738
463,2724,FALL RIVER,23000,FALL RIVER,BRISTOL,2.11257106
464,2534,CATAUMET,11805,"BOURNE, TOWN OF",BARNSTABLE,2.12877433
465,2466,AUBURNDALE,2830,NEWTON,MIDDLESEX,1.74824703
466,2650,NORTH CHATHAM,47275,"CHATHAM, TOWN OF",BARNSTABLE,1.64073077
467,1223,BECKET,4510,"BLANDFORD, TOWN OF",HAMPDEN,2.93063789
468,2646,HARWICH PORT,29090,HARWICH,BARNSTABLE,2.68029043
469,2561,SAGAMORE,58965,"BOURNE, TOWN OF",BARNSTABLE,2.61849426
470,1607,WORCESTER,82000,WORCESTER,WORCESTER,2.56402386
471,2127,SOUTH BOSTON,63200,BOSTON,SUFFOLK,2.56215814
472,1151,INDIAN ORCHARD,32100,SPRINGFIELD,HAMPDEN,2.56179187
473,2135,BRIGHTON,8330,BOSTON,SUFFOLK,2.53017277
474,2171,QUINCY,55745,QUINCY,NORFOLK,2.5215007
475,1441,TYCO,76975,"WESTMINSTER, TOWN OF",WORCESTER,0.49357989
476,2445,BROOKLINE,9210,"BROOKLINE, TOWN OF",NORFOLK,2.50194438
477,1260,SOUTH LEE,64530,"LEE, TOWN OF",BERKSHIRE,0.48685094
478,1902,LYNN,37490,LYNN,ESSEX,2.39287545
479,2562,SAGAMORE BEACH,59000,"BOURNE, TOWN OF",BARNSTABLE,2.38797825
480,1840,LAWRENCE,34550,LAWRENCE,ESSEX,0.48676949
481,2725,SOMERSET,62465,"SOMERSET, TOWN OF",BRISTOL,2.38139817
482,2464,NEWTON UPPER FALLS,45700,NEWTON,MIDDLESEX,0.48348335
483,2032,EAST WALPOLE,20730,"WALPOLE, TOWN OF",NORFOLK,2.25608698
484,2558,ONSET,51160,"WAREHAM, TOWN OF",PLYMOUTH,0.46457327
485,2670,WEST DENNIS,75820,"DENNIS, TOWN OF",BARNSTABLE,2.2505835
486,2114,BOSTON,7000,BOSTON,SUFFOLK,0.42602022
487,1103,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,0.40808293
488,2142,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,0.31911045
489,2110,BOSTON,7000,BOSTON,SUFFOLK,0.20934213
490,2020,BRANT ROCK,7840,"MARSHFIELD, TOWN OF",PLYMOUTH,0.19287635
491,2108,BOSTON,7000,BOSTON,SUFFOLK,0.18992141
492,2109,BOSTON,7000,BOSTON,SUFFOLK,0.1757244
493,1745,FAYVILLE,23420,"SOUTHBOROUGH, TOWN OF",WORCESTER,0.16674924
494,2350,MONPONSETT,42005,"HANSON, TOWN OF",PLYMOUTH,0.16547078
495,2746,NEW BEDFORD,45000,NEW BEDFORD,BRISTOL,2.09587378
496,2671,WEST HARWICH,76450,HARWICH,BARNSTABLE,2.08610932
497,2143,SOMERVILLE,62535,SOMERVILLE,MIDDLESEX,1.49668349
498,2467,CHESTNUT HILL,13625,NEWTON,MIDDLESEX,1.62133133
499,2139,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,1.53884743
500,1355,NEW SALEM,45455,"NEW SALEM, TOWN OF",FRANKLIN,56.92362861
501,2347,LAKEVILLE,33885,"LAKEVILLE, TOWN OF",PLYMOUTH,36.14788827
502,1069,PALMER,52070,"PALMER, TOWN OF",HAMPDEN,31.2085051
503,1031,GILBERTVILLE,25695,"HARDWICK, TOWN OF",WORCESTER,7.22382569
504,1093,WHATELY,79075,"WHATELY, TOWN OF",FRANKLIN,1.53051749
505,2170,QUINCY,55745,QUINCY,NORFOLK,2.0251918
506,2461,NEWTON HIGHLANDS,45630,NEWTON,MIDDLESEX,1.38859135
507,2145,SOMERVILLE,62535,SOMERVILLE,MIDDLESEX,1.38051682
508,2129,CHARLESTOWN,12645,BOSTON,SUFFOLK,1.35709143
509,1503,BERLIN,5455,"BERLIN, TOWN OF",WORCESTER,13.16047963
510,2026,DEDHAM,16530,"DEDHAM, TOWN OF",NORFOLK,10.50881137
511,2458,NEWTON,45560,NEWTON,MIDDLESEX,1.97041616
512,1080,THREE RIVERS,69730,"PALMER, TOWN OF",HAMPDEN,1.5268771
513,2468,WABAN,72075,NEWTON,MIDDLESEX,1.49887466
514,1107,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,1.4986343
515,2532,BUZZARDS BAY,10015,"WAREHAM, TOWN OF",PLYMOUTH,2.11024061
516,2134,ALLSTON,1150,BOSTON,SUFFOLK,1.34527948
517,2446,BROOKLINE,9210,"BROOKLINE, TOWN OF",NORFOLK,1.32643741
518,2126,MATTAPAN,7000,BOSTON,SUFFOLK,1.91306305
519,2723,FALL RIVER,23000,FALL RIVER,BRISTOL,1.84847218
520,2152,WINTHROP,80965,"WINTHROP, TOWN OF",SUFFOLK,1.79662941
521,2763,ATTLEBORO FALLS,2725,"NORTH ATTLEBOROUGH, TOWN OF",BRISTOL,1.32583836
522,1105,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,1.32177084
523,1731,HANSCOM AFB,28425,"LINCOLN, TOWN OF",MIDDLESEX,1.22079065
524,1003,AMHERST,1290,"AMHERST, TOWN OF",HAMPSHIRE,1.21272454
525,2144,SOMERVILLE,62535,SOMERVILLE,MIDDLESEX,1.17562354
526,2121,DORCHESTER,17090,BOSTON,SUFFOLK,1.12853663
527,2118,BOSTON,7000,BOSTON,SUFFOLK,1.1211804
528,1128,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,1.10318163
529,1908,NAHANT,43615,"NAHANT, TOWN OF",ESSEX,1.09572321
530,2641,EAST DENNIS,18840,"DENNIS, TOWN OF",BARNSTABLE,0.97234354
531,2791,WESTPORT POINT,77640,"WESTPORT, TOWN OF",BRISTOL,1.01417631
532,1965,PRIDES CROSSING,55325,BEVERLY,ESSEX,0.93371211
533,2210,BOSTON,7000,BOSTON,SUFFOLK,0.90267044
534,2647,HYANNIS PORT,31890,BARNSTABLE,BARNSTABLE,0.84202441
535,2116,BOSTON,7000,BOSTON,SUFFOLK,0.7936883
536,2115,BOSTON,7000,BOSTON,SUFFOLK,0.77488959
537,2215,BOSTON,7000,BOSTON,SUFFOLK,0.73594322
538,2637,CUMMAQUID,15970,BARNSTABLE,BARNSTABLE,0.68515272
539,2120,ROXBURY CROSSING,58510,BOSTON,SUFFOLK,0.66067031
540,2141,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,0.65065276
541,1434,DEVENS,16840,"AYER, TOWN OF",MIDDLESEX,0.64302673
542,2462,NEWTON LOWER FALLS,45665,NEWTON,MIDDLESEX,0.58695824
543,2467,CHESTNUT HILL,13625,BOSTON,SUFFOLK,0.53184772
544,2122,DORCHESTER,17090,BOSTON,SUFFOLK,1.46751676
545,2460,NEWTONVILLE,45735,NEWTON,MIDDLESEX,1.39441911
546,2744,NEW BEDFORD,45000,NEW BEDFORD,BRISTOL,1.39227048
547,1029,EAST OTIS,20240,"OTIS, TOWN OF",BERKSHIRE,0.02061906
548,1074,SOUTH BARRE,62920,"BARRE, TOWN OF",WORCESTER,0.01049869
